class,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,-9999,ZZZZZ
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,101
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,102
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,103
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,104
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,105
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,106
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,107
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,108
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,109
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,110
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,111
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,112
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,114
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,201
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,202
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,203
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,204
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,205
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,206
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,207
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,208
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,209
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,210
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,211
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,212
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,214
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,215
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,216
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,217
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,218
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,219
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,220
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,221
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,222
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,301
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,302
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,303
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,304
Address,Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,305
