estate,type,date,value
A6N-13N-62,0,2022-01-01,2228713000
C18-1N-39,0,2022-01-01,1493265000
K2C-30-3,0,2022-01-01,3183080000
K1B-30-76,0,2022-01-01,883984000
C31-1B-34,0,2022-01-01,305800000
C31-1B-54,0,2022-01-01,305800000
C31-1B-64,0,2022-01-01,305800000
K2C-30-29,0,2022-01-01,207944000
K2C-29-36,0,2022-01-01,209941000
K1-35-29,0,2022-01-01,730092000
A11N-7N-201-A103,0,2022-01-01,457624000
A11N-7N-201-P28,0,2022-01-01,7952000
A11N-7N-201-P29,0,2022-01-01,7952000
A11N-7N-201-P61,0,2022-01-01,7952000
A11N-7N-201-D22,0,2022-01-01,3446000
C3O-2-140-A301,0,2022-01-01,401599000
C3O-2-136-P14,0,2022-01-01,13915000
