class,type,use,address,total_area
Realty,2,1,A6N-13N-62-O1,78.8
Realty,9,0,A6N-13N-62-S101,55
Realty,9,0,A6N-13N-62-S102,45
Realty,9,0,A6N-13N-62-S103,31
Realty,9,0,A6N-13N-62-S104,40
Realty,9,0,A6N-13N-62-S105,40
Realty,9,0,A6N-13N-62-S106,52.5
Realty,9,0,A6N-13N-62-S107,45.9
Realty,9,0,A6N-13N-62-S108,45.4
Realty,9,0,A6N-13N-62-S109,44.6
Realty,9,0,A6N-13N-62-S110,44.1
Realty,9,0,A6N-13N-62-S111,43.3
Realty,9,0,A6N-13N-62-S112,42.7
Realty,9,0,A6N-13N-62-S114,41.4
Realty,9,0,A6N-13N-62-S201,35
Realty,9,0,A6N-13N-62-S202,28
Realty,9,0,A6N-13N-62-S203,23
Realty,9,0,A6N-13N-62-S204,25
Realty,9,0,A6N-13N-62-S205,28
Realty,9,0,A6N-13N-62-S206,34
Realty,9,0,A6N-13N-62-S207,33.8
Realty,9,0,A6N-13N-62-S208,34
Realty,9,0,A6N-13N-62-S209,33.8
Realty,9,0,A6N-13N-62-S210,34
Realty,9,0,A6N-13N-62-S211,33.8
Realty,9,0,A6N-13N-62-S212,34.7
Realty,9,0,A6N-13N-62-S214,35.7
Realty,9,0,A6N-13N-62-S215,2
Realty,9,0,A6N-13N-62-S216,35.5
Realty,9,0,A6N-13N-62-S217,39.9
Realty,9,0,A6N-13N-62-S218,33.2
Realty,9,0,A6N-13N-62-S219,40.6
Realty,9,0,A6N-13N-62-S220,31.9
Realty,9,0,A6N-13N-62-S221,30.3
Realty,9,0,A6N-13N-62-S222,30.6
Realty,9,0,A6N-13N-62-S301,35
Realty,9,0,A6N-13N-62-S302,28
Realty,9,0,A6N-13N-62-S303,23
Realty,9,0,A6N-13N-62-S304,25
Realty,9,0,A6N-13N-62-S305,28
Realty,9,0,A6N-13N-62-S306,34
Realty,9,0,A6N-13N-62-S307,33.8
Realty,9,0,A6N-13N-62-S308,34
Realty,9,0,A6N-13N-62-S309,33.8
Realty,9,0,A6N-13N-62-S310,34
Realty,9,0,A6N-13N-62-S311,33.8
Realty,9,0,A6N-13N-62-S312,34.7
Realty,9,0,A6N-13N-62-S314,35.7
Realty,9,0,A6N-13N-62-S315,22.5
Realty,9,0,A6N-13N-62-S316,24.6
Realty,9,0,A6N-13N-62-S317,30.9
Realty,9,0,A6N-13N-62-S318,24.6
Realty,9,0,A6N-13N-62-S319,40.6
Realty,9,0,A6N-13N-62-S320,31.9
Realty,9,0,A6N-13N-62-S321,30.3
Realty,9,0,A6N-13N-62-S322,30.6
Realty,1,1,A6N-13N-66,120.5
Realty,1,1,A6N-13N-68,31.2
Realty,1,1,K1-17-37,116
Realty,1,1,K1-17-43,145
Realty,1,1,K1-17-47,145
Realty,1,1,K1-17-53,145
Realty,1,1,K1-17-57,257
Realty,1,1,K1-17-65,600
Realty,3,2,C18-1N-33,126
Realty,3,2,C18-1N-39,324
Realty,3,2,C18-1N-41,326
Realty,3,2,C18-1N-43,214
Realty,3,2,K1B-30-16,486
Realty,3,2,K1B-30-34,864
Realty,3,2,K1B-30-52,243
Realty,3,2,K1B-30-76,260
Realty,3,2,K2C-30-3,670
Realty,3,2,K2C-30-9,450
Realty,3,2,K2C-30-15-B2,1117
Realty,3,2,K2C-30-15-B3,372
Realty,3,2,K2C-30-27,484
Realty,3,2,K2C-30-29,639
Realty,3,2,K2C-30-51,320
Realty,3,2,C30-1B-13,70
Realty,3,2,C30-1B-15-B1,82
Realty,3,2,C30-1B-15-B2,131
Realty,3,2,C30-1B-15-B3,132
Realty,3,2,C30-1B-15-B5,121
Realty,3,2,C30-1B-27,505
Realty,3,2,C30-1B-31,480
Realty,3,2,C31-1B-4,986
Realty,3,2,C31-1B-24,679
Realty,3,2,C31-1B-34,722
Realty,3,2,C31-1B-44,513
Realty,3,2,C31-1B-54,464
Realty,3,2,C31-1B-64,416
Realty,3,2,C31-1B-74,454
Realty,3,2,C31-1B-80,288
Realty,3,2,K2C-29-36,304
Realty,3,2,K1-35-29-B9,522
Realty,3,2,K1-35-29-B11,555
